date,price,volume
1682900000,29298.68865,971000
1682910000,28669.92876,4386419
1682920000,28502.48771,1816228
1682930000,28594.34019,922457
1682940000,28534.59007,867826
1682950000,28366.69214,3599507
1682960000,28205.02523,3002104
1682970000,27918.64334,3090808
1682980000,28012.66746,1110004
1682990000,28027.22249,1204463
1683000000,27977.95102,808809
1683010000,28049.81189,725896
1683020000,28017.88257,790266
1683030000,28091.90236,1450966
1683040000,28430.09901,6158832
1683050000,28656.89415,1993596
1683060000,28714.92687,863763
1683070000,28674.69125,1184200
1683080000,28482.33312,1225242
1683090000,28494.24667,549015
1683100000,28650.30946,1526641
1683110000,28618.98391,784801
1683120000,28329.46416,3225169
1683130000,28377.23022,2167932
1683140000,28494.80389,4874198
1683150000,28924.59338,3003086
1683160000,29041.81371,1139585
1683170000,29077.92281,1017041
1683180000,29141.61832,1048342
1683190000,29063.79008,825831
1683200000,29194.81124,2531546
1683210000,28841.4187,3288643
1683220000,28850.73777,1260702
1683230000,28815.69305,824848
1683240000,28809.99845,362050
1683250000,29240.92679,3211841
1683260000,29223.51642,927131
1683270000,29135.85698,1264286
1683280000,29093.95992,673736
1683290000,29038.33369,4265209
1683300000,29405.19622,4351217
1683310000,29497.34119,1410493
1683320000,29503.53533,581088
1683330000,29660.49525,1526291
1683340000,29497.82715,1185267
1683350000,29353.58636,828005
1683360000,29282.01987,1530963
1683370000,29265.351,705373
1683380000,28849.89877,4391490
1683390000,28590.687,2037556
1683400000,28869.97368,1185219
1683410000,28786.28529,532433
1683420000,28951.60726,1464212
1683430000,28831.9993,817597
1683440000,28893.06237,548380
1683450000,28856.17296,821027
1683460000,28843.96912,919027
1683470000,28976.90591,1329717
1683480000,28916.23122,918170
1683490000,28863.38725,621728
1683500000,28601.37063,2666437
1683510000,28301.3102,3169676
1683520000,28158.16885,1431856
1683530000,27983.87122,2216257
1683540000,27805.0405,2179700
1683550000,27861.92449,1641931
1683560000,27892.72366,2029899
1683570000,27523.98002,3603322
1683580000,27451.0221,1282942
1683590000,27637.63132,871157
1683600000,27634.56874,881448
1683610000,27549.19227,1020495
1683620000,27587.68803,937476
1683630000,27663.72166,1284247
1683640000,27597.49064,2296076
1683650000,27523.36839,2105691
1683660000,27639.66421,882087
1683670000,27600.18927,427896
1683680000,27734.0571,1231517
1683690000,27683.33094,523089
1683700000,27605.75988,798060
1683710000,27559.72896,755908
1683720000,27985.90554,5432639
1683730000,28149.87727,2217440
1683740000,27386.6799,8396946
1683750000,27671.82976,3182578
1683760000,27597.39738,1018406
1683770000,27501.85463,1127434
1683780000,27465.78988,817832
1683790000,27423.54019,1339139
1683800000,27424.81696,683363
